,Time,HitType,PosX,PosY,PrevBlinderCount,onscreen_bl_count,nf_count
0,1667416162,Blinder,170,608,5,1,2
0,1667416164,Blinder,610,448,6,1,3
0,1667416166,Blinder,505,223,7,2,3
0,1667416169,Blinder,1130,133,8,3,5
0,1667416173,Blinder,515,558,9,2,6
0,1667416175,Blinder,990,523,10,1,8
0,1667416177,climate_change,815,248,11,0,10
0,1667416177,climate_change,810,253,10,0,10
0,1667416179,crop_failure,445,198,9,2,14
0,1667416182,Blinder,635,453,10,2,17
0,1667416184,Blinder,970,428,11,2,19
0,1667416187,Blinder,725,503,12,2,24
0,1667416190,Blinder,860,263,13,2,37
0,1667416191,famine,735,138,14,1,40
0,1667416196,Blinder,580,448,13,4,50
0,1667416198,Blinder,855,368,14,3,51
0,1667416199,nuclear_war,935,238,15,2,50
0,1667416199,nuclear_war,935,233,14,2,50
0,1667416201,machine_superintelligence,800,25.5,13,3,50
0,1667416204,machine_superintelligence,620,365.5,14,2,51
0,1667416204,machine_superintelligence,620,370.5,13,2,51
0,1667416211,Blinder,700,135.5,14,1,50
0,1667416214,crop_failure,595,25.5,15,2,51
0,1667416214,crop_failure,595,25.5,14,2,50
0,1667416221,Blinder,615,170.5,15,2,51
0,1667416223,Blinder,690,450.5,16,1,50
0,1667416223,Blinder,890,435.5,17,1,51
0,1667416232,Blinder,655,595.5,18,3,50
0,1667416233,pandemic,630,575.5,19,2,51
0,1667416233,pandemic,630,575.5,18,2,51
0,1667416233,pandemic,630,550.5,17,1,51
0,1667416234,nuclear_war,630,495.5,16,1,51
0,1667416253,climate_change,470,415.5,17,2,51
0,1667416253,climate_change,470,415.5,16,2,51
0,1667416255,Blinder,800,660.5,17,2,51
0,1667416259,Blinder,765,310.5,18,6,50
0,1667416259,Blinder,735,310.5,19,5,50
0,1667416260,pandemic,735,255.5,20,5,50
0,1667416260,pandemic,735,250.5,19,5,50
0,1667416261,nuclear_war,975,115.5,20,4,50
0,1667416262,nuclear_war,970,115.5,19,4,50
0,1667416269,pandemic,530,255.5,18,1,50
0,1667416279,Blinder,485,585.5,19,3,51
0,1667416280,Blinder,485,670.5,20,2,50
0,1667416280,nuclear_war,485,695.5,21,1,50
0,1667416280,nuclear_war,485,695.5,20,1,50
0,1667416288,Blinder,705,50.5,21,7,51
0,1667416290,Blinder,875,95.5,22,7,51
0,1667416292,Blinder,815,180.5,23,7,51
0,1667416293,Blinder,610,90.5,24,6,51
0,1667416294,Blinder,345,90.5,25,6,50
0,1667416295,Blinder,490,205.5,26,6,51
0,1667416296,Blinder,640,225.5,27,5,51
0,1667416297,Blinder,875,325.5,28,6,51
0,1667416299,Blinder,1000,220.5,29,8,50
0,1667416299,nuclear_war,1000,265.5,30,7,51
0,1667416299,nuclear_war,1000,265.5,29,7,51
0,1667416303,pandemic,875,455.5,30,5,51
0,1667416303,pandemic,875,460.5,29,5,51
0,1667416304,famine,875,465.5,28,5,50
0,1667416304,famine,875,465.5,27,4,51
0,1667416311,famine,500,680.5,28,1,50
0,1667416311,famine,500,680.5,27,2,51
0,1667416319,Blinder,300,470.5,28,5,51
0,1667416320,Blinder,95,200.5,29,5,51
0,1667416324,Blinder,320,490.5,30,2,51
0,1667416335,Blinder,555,450.5,31,5,51
0,1667416336,pandemic,540,450.5,32,4,51
0,1667416336,pandemic,540,450.5,31,4,51
0,1667416338,machine_superintelligence,515,520.5,30,3,51
0,1667416340,Blinder,980,445.5,29,7,51
0,1667416340,climate_change,1000,445.5,30,6,51
0,1667416340,climate_change,1000,445.5,29,6,51
0,1667416341,climate_change,1000,440.5,28,6,51
0,1667416343,Blinder,850,340.5,27,6,50
0,1667416343,famine,850,340.5,28,5,50
0,1667416343,famine,850,335.5,27,5,50
0,1667416347,crop_failure,555,435.5,26,1,51
0,1667416347,crop_failure,555,395.5,25,1,50
0,1667416348,famine,605,330.5,24,1,51
0,1667416350,climate_change,770,650.5,23,2,50
0,1667416350,climate_change,760,660.5,22,2,50
0,1667416351,pandemic,685,700.5,23,2,50
0,1667416351,pandemic,685,700.5,22,2,50
0,1667416353,famine,630,485.5,21,2,50
0,1667416354,nuclear_war,580,115.5,20,1,51
0,1667416355,famine,685,131.5,19,0,50
0,1667416363,nuclear_war,710,581.5,18,2,50
0,1667416371,Blinder,800,274.5,19,7,50
0,1667416382,nuclear_war,740,444.5,20,4,51
0,1667416382,nuclear_war,740,444.5,19,4,51
0,1667416384,crop_failure,650,194.5,18,5,50
0,1667416386,Blinder,270,25.5,19,7,51
0,1667416388,Blinder,175,200.5,20,10,51
0,1667416388,Blinder,175,250.5,21,9,51
0,1667416389,crop_failure,290,265.5,22,9,50
0,1667416390,Blinder,200,380.5,21,9,51
0,1667416391,pandemic,85,585.5,22,8,51
0,1667416391,pandemic,85,590.5,21,8,51
0,1667416395,Blinder,740,230.5,22,3,51
0,1667416395,pandemic,740,205.5,23,2,51
0,1667416395,pandemic,740,200.5,22,2,51
0,1667416397,famine,915,280.5,23,2,51
0,1667416397,famine,910,285.5,22,2,51
0,1667416399,famine,440,380.5,23,3,50
0,1667416399,famine,440,375.5,22,3,50
0,1667416401,famine,755,265.5,21,4,51
0,1667416401,famine,755,265.5,22,3,51
0,1667416402,famine,580,265.5,21,3,51
0,1667416402,pandemic,505,235.5,20,2,50
0,1667416402,pandemic,500,180.5,19,2,50
0,1667416403,nuclear_war,440,125.5,18,2,50
0,1667416406,famine,450,155.5,19,1,50
0,1667416406,famine,455,160.5,18,1,50
0,1667416406,nuclear_war,600,185.5,17,3,51
0,1667416407,crop_failure,725,225.5,16,3,50
0,1667416407,crop_failure,740,225.5,15,3,50
0,1667416411,Blinder,630,345.5,16,3,50
0,1667416414,famine,900,425.5,17,2,50
0,1667416414,famine,905,425.5,16,2,51
0,1667416414,famine,930,395.5,15,2,51
0,1667416417,Blinder,530,225.5,16,4,50
0,1667416417,famine,530,255.5,17,4,50
0,1667416418,Blinder,590,100.5,16,6,51
0,1667416419,crop_failure,590,60.5,17,4,51
